location,source,target,id,fuzzy,context,developer_comments
"src/components/DownloadButton/DownloadButton.js","ByteFence Anti-Malware application is not compatible with your operating system.","A aplicação ByteFence Anti-Malware não é compatível com o seu sistema operativo.","error.downloadBlocked",false,"error.downloadBlocked","error.downloadBlocked"
"src/components/DownloadButton/DownloadButton.js","Download Error","Erro no Download","error.downloadError",false,"error.downloadError","error.downloadError"
"src/components/DownloadButton/DownloadButton.js",OK,OK,"error.ok",false,"error.ok","error.ok"
"src/components/DownloadButton/DownloadButton.test.js,src/components/UiButton/RavButton.test.js","TRY FOR FREE","","header.test",false,"try for free top button","try for free top button"
"src/components/Footer/messages.js",Company,"A Empresa","footer.link.company",false,"Footer Company Link","Footer Company Link"
"src/components/Footer/messages.js","Contact Us",Contacte-nos,"footer.link.contactUs",false,"Footer contactUs Link","Footer contactUs Link"
"src/components/Footer/messages.js","ByteFence Free","Byte<strong>Fence <span>Grátis</span><strong>","footer.link.free",false,"Footer Bytefence Free Link","Footer Bytefence Free Link"
"src/components/Footer/messages.js","ByteFence Pro","Byte<strong>Fence <span>Pro</span><strong>","footer.link.pro",false,"Footer Bytefence Pro Link","Footer Bytefence Pro Link"
"src/components/Footer/messages.js",Renew,"Comprar | Renovar","footer.link.renew",false,"Footer Bytefence Renew Link","Footer Bytefence Renew Link"
"src/components/Footer/messages.js",Support,Suporte,"footer.link.support",false,"Footer support Link","Footer support Link"
"src/components/Footer/messages.js","Privacy Policy","Política de Privacidade","footer.privacy",false,"Footer Privacy policy link","Footer Privacy policy link"
"src/components/Footer/messages.js","Terms of Use","","footer.terms",false,"Footer Terms link","Footer Terms link"
"src/components/Footer/messages.js",About,Sobre,"footer.title.about",false,"Footer Bytefence About title","Footer Bytefence About title"
"src/components/Footer/messages.js","Help And Support","Ajuda e Suporte","footer.title.helpAndSupport",false,"Footer helpAndSupport title","Footer helpAndSupport title"
"src/components/Footer/messages.js",Products,Produtos,"footer.title.products",false,"Footer products title","Footer products title"
"src/components/Plan/messages.js","Choose Plan","Escolher Plano","plan.btnTxt",false,"plan.btnTxt","plan.btnTxt"
"src/components/RCSPopUp/RCSPopUp.js","TRY NOW","","rcsPopUp.button",false,"rcsPopUp button","rcsPopUp button"
"src/components/RCSPopUp/RCSPopUp.js","check out","","rcsPopUp.link",false,"rcsPopUp link","rcsPopUp link"
"src/components/RCSPopUp/RCSPopUp.js","We’ve just launched a new antivirus software, which includes all of Reason Core Security features and more!","","rcsPopUp.subTitle",false,"rcsPopUp sub title","rcsPopUp sub title"
"src/components/RCSPopUp/RCSPopUp.js","Now you can scan and remove viruses and other malware threats for FREE!","","rcsPopUp.text",false,"rcsPopUp text","rcsPopUp text"
"src/components/RCSPopUp/RCSPopUp.js","our new website","","rcsPopUp.text.end",false,"rcsPopUp text end","rcsPopUp text end"
"src/components/RCSPopUp/RCSPopUp.js",Or,"","rcsPopUp.text.start",false,"rcsPopUp text start","rcsPopUp text start"
"src/components/RCSPopUp/RCSPopUp.js","A New","","rcsPopUp.title1",false,"rcsPopUp.title1","rcsPopUp.title1"
"src/components/RCSPopUp/RCSPopUp.js","to Feel Safe!","","rcsPopUp.title2",false,"rcsPopUp.title2","rcsPopUp.title2"
"src/components/SpecsNote/SpecsNote.js","GET IT NOW","OBTER AGORA","specsNote.button",false,"specsNote button","specsNote button"
"src/components/SpecsNote/SpecsNote.js","System requirements and specifications","","specsNote.subTitle",false,"specsNote subTitle","specsNote subTitle"
"src/components/SpecsNote/SpecsNote.js","A PC with Windows 10, 8.1, 8, 7, 256 MB RAM or more, and 0.5 GB of hard disk free space.","","specsNote.text",false,"specsNote text","specsNote text"
"src/components/SpecsNote/SpecsNote.js","Don’t worry, <br>Reason’s got your back","","specsNote.title",false,"specsNote title","specsNote title"
"src/routes/Home/components/Features/messages.js","Real-time protection keeps you protected all the time from dangerous infections and unwanted software.","A proteção em tempo real mantém o seu computador protegido, o tempo todo, contra infeções perigosas e software indesejado.","home.features.feature1text",false,"Home Features feature1text","Home Features feature1text"
"src/routes/Home/components/Features/messages.js","PROTECTED 24/7","PROTEGIDO 24/7","home.features.feature1title",false,"Home Features feature1title","Home Features feature1title"
"src/routes/Home/components/Features/messages.js","Robust protection against all malware. Scans and removes harmful Trojans, Worms and Spyware.","Proteção robusta contra todo o tipo de malware. O ByteFence deteta e remove Trojans, Worms e Spyware.","home.features.feature2text",false,"Home Features feature2text","Home Features feature2text"
"src/routes/Home/components/Features/messages.js","REMOVES HARMFUL MALWARE","REMOVE MALWARE PERIGOSO","home.features.feature2title",false,"Home Features feature2title","Home Features feature2title"
"src/routes/Home/messages.js","Free Download","Transfira Grátis","home.header.button",false,"Home Header Button","Home Header Button"
"src/routes/Home/messages.js","Ultimate protection against Malware, Spyware and Crapware, for Free","A melhor proteção contra Malware, Spyware e Crapware, de graça","home.header.title",false,"Home Header Title","Home Header Title"
"src/routes/Home/components/Infected/messages.js","Free Download","Transfira Grátis","home.infected.button",false,"Home Infected Button","Home Infected Button"
"src/routes/Home/components/Infected/messages.js","ByteFence Anti-malware’s cutting edge software detects and removes Trojans, Worms, Spyware, Crapware and other high risk malware.","O software Anti-malware inovador da ByteFence, deteta e remove Trojans, Worms, Spyware, Crapware e outros tipos de malware de alto risco.","home.infected.left",false,"Home Infected Left","Home Infected Left"
"src/routes/Home/components/Infected/messages.js","ByteFence is the ultimate protection against crapware and bundleware that sneak in potentially unwanted programs and ads.","O ByteFence é a melhor proteção contra crapware e bundleware que infiltram programas e anúncios potencialmente indesejados.","home.infected.right",false,"Home Infected Right","Home Infected Right"
"src/routes/Home/components/Infected/messages.js","Is your computer <b>infected</b> with hidden Malware?","O seu computador está <strong>infetado</strong> com malware escondido?","home.infected.title",false,"Home Infected Title","Home Infected Title"
"src/routes/messages.js",Monthly,Mensalmente,"1m.buyPage.periodTitle",false,"1m.buyPage.periodTitle","1m.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every month","Pagamento único de {currencyAndPrice} todos os meses","1m.monthlyBuyPage.chargeComment",false,"1m.monthlyBuyPage.chargeComment","1m.monthlyBuyPage.chargeComment"
"src/routes/messages.js","1 MONTH LICENSE","LICENÇA DE 1 MÊS","1m.monthlyBuyPage.periodTitle",false,"1m.monthlyBuyPage.periodTitle","1m.monthlyBuyPage.periodTitle"
"src/routes/messages.js","1 MONTH LICENSE","LICENÇA DE 1 MÊS","1m.monthlyPlanPicker.caption",false,"1m.monthlyPlanPicker.caption","1m.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every month","Faturado como um pagamento único de {currencyAndPrice} todos os meses","1m.monthlyPlanPicker.chargeComment",false,"1m.monthlyPlanPicker.chargeComment","1m.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Monthly Plan","Plano Mensal","1m.planPicker.caption",false,"1m.planPicker.caption","1m.planPicker.caption"
"src/routes/messages.js",Monthly,Mensalmente,"1m.planPicker.periodTitle",false,"1m.planPicker.periodTitle","1m.planPicker.periodTitle"
"src/routes/messages.js","Someone from <%geo%> just purchased a Monthly plan","Alguém em <%geo%> acabou de comprar um plano Mensal","1m.planPicker.salePrompt",false,"1m.planPicker.salePrompt","1m.planPicker.salePrompt"
"src/routes/messages.js","1 month license","LICENÇA DE 1 MÊS","1m.receipt.caption",false,"1m.receipt.caption","1m.receipt.caption"
"src/routes/messages.js",Yearly,Anualmente,"1y.buyPage.periodTitle",false,"1y.buyPage.periodTitle","1y.buyPage.periodTitle"
"src/routes/messages.js","One payment of {currencyAndPrice} every 12 months","Pagamento único de {currencyAndPrice} em cada 12 meses","1y.monthlyBuyPage.chargeComment",false,"1y.monthlyBuyPage.chargeComment","1y.monthlyBuyPage.chargeComment"
"src/routes/messages.js","1 YEAR LICENSE","LICENÇA DE 1 ANO","1y.monthlyBuyPage.periodTitle",false,"1y.monthlyBuyPage.periodTitle","1y.monthlyBuyPage.periodTitle"
"src/routes/messages.js","1 YEAR LICENSE","LICENÇA DE 1 ANO","1y.monthlyPlanPicker.caption",false,"1y.monthlyPlanPicker.caption","1y.monthlyPlanPicker.caption"
"src/routes/messages.js","Billed as one payment of {currencyAndPrice} every 12 months","Faturado como um pagamento único de {currencyAndPrice} em cada 12 meses","1y.monthlyPlanPicker.chargeComment",false,"1y.monthlyPlanPicker.chargeComment","1y.monthlyPlanPicker.chargeComment"
"src/routes/messages.js","Annual Plan","Plano Anual","1y.planPicker.caption",false,"1y.planPicker.caption","1y.planPicker.caption"
