"location","source","target","id","fuzzy","context","developer_comments"
"src/components/DownloadButton/DownloadButton.js","ByteFence Anti-Malware application is not compatible with your operating system.","","error.downloadBlocked","false","error.downloadBlocked","error.downloadBlocked"
"src/components/DownloadButton/DownloadButton.js","Download Error","","error.downloadError","false","error.downloadError","error.downloadError"
"src/components/DownloadButton/DownloadButton.js","OK","","error.ok","false","error.ok","error.ok"
"src/components/DownloadButton/DownloadButton.test.js,src/components/UiButton/RavButton.test.js","TRY FOR FREE","","header.test","false","try for free top button","try for free top button"
"","About Us","О нас","footer.link.about","false","Footer about Link","Footer about Link"
"src/components/Footer/messages.js","Company","Компания","footer.link.company","false","Footer Company Link","Footer Company Link"
"src/components/Footer/messages.js","Contact Us","Обратная связь","footer.link.contactUs","false","Footer contactUs Link","Footer contactUs Link"
"src/components/Footer/messages.js","ByteFence Free","","footer.link.free","false","Footer Bytefence Free Link","Footer Bytefence Free Link"
"src/components/Footer/messages.js","ByteFence Pro","","footer.link.pro","false","Footer Bytefence Pro Link","Footer Bytefence Pro Link"
"src/components/Footer/messages.js","Renew","Купить | Обновить","footer.link.renew","false","Footer Bytefence Renew Link","Footer Bytefence Renew Link"
"src/components/Footer/messages.js","Support","Поддержка","footer.link.support","false","Footer support Link","Footer support Link"
"src/components/Footer/messages.js","Privacy Policy","Политика конфиденциальности","footer.privacy","false","Footer Privacy policy link","Footer Privacy policy link"
"src/components/Footer/messages.js","Terms of Use","Пользовательские условия","footer.terms","false","Footer Terms link","Footer Terms link"
"src/components/Footer/messages.js","About","О нас","footer.title.about","false","Footer Bytefence About title","Footer Bytefence About title"
"src/components/Footer/messages.js","Help And Support","Помощь и поддержка","footer.title.helpAndSupport","false","Footer helpAndSupport title","Footer helpAndSupport title"
"src/components/Footer/messages.js","Products","Товары","footer.title.products","false","Footer products title","Footer products title"
"src/components/Navigation/messages.js","Buy","Купить","navigation.buy","false","buy link in header","buy link in header"
"src/components/Navigation/messages.js","Download","Скачать","navigation.download","false","Download link in header","Download link in header"
"src/components/Navigation/messages.js","Features","Возможности","navigation.features","false","Features link in header","Features link in header"
"src/components/Plan/messages.js","Choose Plan","","plan.btnTxt","false","plan.btnTxt","plan.btnTxt"
"src/components/RCSPopUp/RCSPopUp.js","TRY NOW","","rcsPopUp.button","false","rcsPopUp button","rcsPopUp button"
"src/components/RCSPopUp/RCSPopUp.js","check out","","rcsPopUp.link","false","rcsPopUp link","rcsPopUp link"
"src/components/RCSPopUp/RCSPopUp.js","We’ve just launched a new antivirus software, which includes all of Reason Core Security features and more!","","rcsPopUp.subTitle","false","rcsPopUp sub title","rcsPopUp sub title"
"src/components/RCSPopUp/RCSPopUp.js","Now you can scan and remove viruses and other malware threats for FREE!","","rcsPopUp.text","false","rcsPopUp text","rcsPopUp text"
"src/components/RCSPopUp/RCSPopUp.js","our new website","","rcsPopUp.text.end","false","rcsPopUp text end","rcsPopUp text end"
"src/components/RCSPopUp/RCSPopUp.js","Or","","rcsPopUp.text.start","false","rcsPopUp text start","rcsPopUp text start"
"src/components/RCSPopUp/RCSPopUp.js","A New","","rcsPopUp.title1","false","rcsPopUp.title1","rcsPopUp.title1"
"src/components/RCSPopUp/RCSPopUp.js","to Feel Safe!","","rcsPopUp.title2","false","rcsPopUp.title2","rcsPopUp.title2"
"src/components/SpecsNote/SpecsNote.js","GET IT NOW","","specsNote.button","false","specsNote button","specsNote button"
"src/components/SpecsNote/SpecsNote.js","System requirements and specifications","","specsNote.subTitle","false","specsNote subTitle","specsNote subTitle"
"src/components/SpecsNote/SpecsNote.js","A PC with Windows 10, 8.1, 8, 7, 256 MB RAM or more, and 0.5 GB of hard disk free space.","","specsNote.text","false","specsNote text","specsNote text"
"src/components/SpecsNote/SpecsNote.js","Don’t worry, <br>Reason’s got your back","","specsNote.title","false","specsNote title","specsNote title"
"src/routes/Home/components/Features/messages.js","Real-time protection keeps you protected all the time from dangerous infections and unwanted software.","Защита в режиме реального времени защищает вас все время от опасного заражения и нежелательного программного обеспечения.","home.features.feature1text","false","Home Features feature1text","Home Features feature1text"
